EDQM,,,,,RxNorm Mapping,Bewertung,Kommentar,Original Mapping [https://www.sciencedirect.com/science/article/pii/S138650562200140X],,
PDF-10100500,Human and Veterinary,Current,Oral,Concentrate for oral suspension,,,,,,0
PDF-10101000,Human and Veterinary,Current,Oral,"Oral drops, solution",Oral Solution,ok,"Schade, des hier nicht auch noch nach Tropfen uterschieden wird",,"a solution intended to be taken by mouth. For solutions applied to the teeth, use Mouthwash",
PDF-10102000,Human and Veterinary,Current,Oral,"Oral drops, suspension",Oral Suspension,ok,"Schade, des hier nicht auch noch nach Tropfen uterschieden wird",,a suspension intended to be taken by mouth,
PDF-10103000,Human and Veterinary,Current,Oral,"Oral drops, emulsion",,,,,,
PDF-10104000,Human and Veterinary,Current,Oral,Oral liquid,,,,,,
PDF-10105000,Human and Veterinary,Current,Oral,Oral solution,Oral Solution,ok,,Oral Solution,"a solution intended to be taken by mouth. For solutions applied to the teeth, use Mouthwash",
PDF-10106000,Human and Veterinary,Current,Oral,Oral suspension,Oral Suspension,ok,,Oral Suspension,a suspension intended to be taken by mouth,
PDF-10107000,Human and Veterinary,Current,Oral,Oral emulsion,,,,,,
PDF-10108000,Human and Veterinary,Current,Oral,Oral gel,Oral Gel,ok,,Oral Gel,a gel intended for use on or in the oral cavity,
PDF-10109000,Human and Veterinary,Current,Oral,Oral paste,Oral Paste,ok,,Oral Paste,a paste to be taken or used orally,
PDF-10110000,Human and Veterinary,Current,Oral,Powder for oral solution,Powder for Oral Solution,ok,,Powder for Oral Solution,"a powder, which, upon the addition of suitable vehicles, yields a solution intended to be taken by mouth",
PDF-10111000,Human and Veterinary,Current,Oral,Powder for oral suspension,Powder for Oral Suspension,ok,,Powder for Oral Suspension,"a powder, which, upon the addition of suitable vehicles, yields a suspension intended to be taken by mouth",
PDF-10112000,Human and Veterinary,Current,Oral,Granules for oral solution,Granules for Oral Solution,ok,,Granules for Oral Solution,granules to be reconstituted with solvent just before dispensing to form a solution intended to be taken by mouth,
PDF-10113000,Human and Veterinary,Current,Oral,Granules for oral suspension,Granules for Oral Suspension,ok,,Granules for Oral Suspension,granules to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-10116000,Veterinary only,Deprecated,Unknown/Miscellaneous,Lyophilisate for suspension,,,,,,
PDF-10117000,Human and Veterinary,Current,Oral,Syrup,,,,,,
PDF-10118000,Human and Veterinary,Current,Oral,Powder for syrup,,,,,,
PDF-10119000,Human and Veterinary,Current,Oral,Granules for syrup,,,,,,
PDF-10120000,Human and Veterinary,Current,Oral,Soluble tablet,,,,,,
PDF-10121000,Human and Veterinary,Current,Oral,Dispersible tablet,Tablet for Oral Suspension,ok,,,a tablet to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-10121500,Human and Veterinary,Current,Oral,Dispersible tablets for dose dispenser,Tablet for Oral Suspension,ok,fehlt for dose dispenser,,a tablet to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-10122000,Human and Veterinary,Current,Oral,Herbal tea,,,,,,
PDF-10201000,Human and Veterinary,Current,Oral,Oral powder,Oral Powder,ok,,,"a powder given orally, often sprinkled on or mixed with food. Not for powders mixed with liquids",
PDF-10202000,Human and Veterinary,Current,Oral,Instant herbal tea,,,,,,
PDF-10203000,Human and Veterinary,Current,Oral,Effervescent powder,Powder for Oral Solution,,,,"a powder, which, upon the addition of suitable vehicles, yields a solution intended to be taken by mouth",
PDF-10204000,Human and Veterinary,Current,Oral,Granules,Oral Granules,ok,,Oral Granules,granules intended to be taken by mouth,
PDF-10205000,Human and Veterinary,Current,Oral,Effervescent granules,,,,,,
PDF-10206000,Human and Veterinary,Current,Oral,Gastro-resistant granules,Delayed Release Oral Granules,ok,,,granules intended to be taken by mouth which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated articles are delayed release dosage forms),
PDF-10207000,Human and Veterinary,Current,Oral,Prolonged-release granules,Oral Granules,ok,"orale granules ist zu allgemein, Wirkstoffreigabe über einen längeren Zeitraum",,granules intended to be taken by mouth,
PDF-10208000,Human and Veterinary,Current,Oral,Modified-release granules,Delayed Release Oral Granules,,"hier bin ich mir nicht sicher, modified release bedeutet ja veränderte Wirkstofffreisetzung, nicht nur magensaftresistent, auch retardiert, verlängert...",Delayed Release Oral Granules,granules intended to be taken by mouth which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated articles are delayed release dosage forms),
PDF-10209000,Human and Veterinary,Current,Oral,Cachet,Oral Wafer,ok,,,"a thin, cookie-like, baked form",
PDF-10210000,Human and Veterinary,Current,Oral,"Capsule, hard",Oral Capsule,ok,,,a capsule taken by mouth,
PDF-10211000,Human and Veterinary,Current,Oral,"Capsule, soft",Oral Capsule,ok,,,a capsule taken by mouth,
PDF-10212000,Human and Veterinary,Current,Oral,"Gastro-resistant capsule, hard",Delayed Release Oral Capsule,ok,,,"a solid dosage form in which the drug is enclosed within either a hard or soft soluble container made from a suitable form of gelatin, and which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms)",
PDF-10213000,Human and Veterinary,Current,Oral,"Gastro-resistant capsule, soft",Delayed Release Oral Capsule,ok,,,"a solid dosage form in which the drug is enclosed within either a hard or soft soluble container made from a suitable form of gelatin, and which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms)",
PDF-10214000,Human and Veterinary,Current,Oral,"Chewable capsule, soft",Oral Capsule,ok,"oral capsule ist nicht falsch, aber sehr allemein",,a capsule taken by mouth,
PDF-10215000,Human and Veterinary,Current,Oral,"Prolonged-release capsule, hard",Oral Capsule,ok,"oral capsule ist nicht falsch, aber sehr allemein",,a capsule taken by mouth,
PDF-10216000,Human and Veterinary,Current,Oral,"Prolonged-release capsule, soft",Oral Capsule,ok,"oral capsule ist nicht falsch, aber sehr allemein",,a capsule taken by mouth,
PDF-10217000,Human and Veterinary,Current,Oral,"Modified-release capsule, hard",Delayed Release Oral Capsule,ok,,,"a solid dosage form in which the drug is enclosed within either a hard or soft soluble container made from a suitable form of gelatin, and which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms)",
PDF-10218000,Human and Veterinary,Current,Oral,"Modified-release capsule, soft",Delayed Release Oral Capsule,ok,,,"a solid dosage form in which the drug is enclosed within either a hard or soft soluble container made from a suitable form of gelatin, and which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms)",
PDF-10219000,Human and Veterinary,Current,Oral,Tablet,Oral Tablet,ok,,Oral Tablet,a tablet containing medicated materials to be taken by mouth,
PDF-10220000,Human and Veterinary,Current,Oral,Coated tablet,Oral Tablet,ok,oral tablet: sehr allgemein,,a tablet containing medicated materials to be taken by mouth,
