# 2024-05-27
# Data taken from the EDQM Standard Terms database (http://standardterms.edqm.eu) with the permission of the European Directorate for the Quality of Medicines & HealthCare, Council of Europe (EDQM).
"CLASS";"CODE";"NAME";"STATUS"
"PDF";"10100500";"Concentrate for oral suspension";"Current"
"PDF";"10101000";"Oral drops, solution";"Current"
"PDF";"10102000";"Oral drops, suspension";"Current"
"PDF";"10103000";"Oral drops, emulsion";"Current"
"PDF";"10104000";"Oral liquid";"Current"
"PDF";"10105000";"Oral solution";"Current"
"PDF";"10106000";"Oral suspension";"Current"
"PDF";"10107000";"Oral emulsion";"Current"
"PDF";"10108000";"Oral gel";"Current"
"PDF";"10109000";"Oral paste";"Current"
"PDF";"10110000";"Powder for oral solution";"Current"
"PDF";"10111000";"Powder for oral suspension";"Current"
"PDF";"10112000";"Granules for oral solution";"Current"
"PDF";"10113000";"Granules for oral suspension";"Current"
"PDF";"10117000";"Syrup";"Current"
"PDF";"10118000";"Powder for syrup";"Current"
"PDF";"10119000";"Granules for syrup";"Current"
"PDF";"10120000";"Soluble tablet";"Current"
"PDF";"10121000";"Dispersible tablet";"Current"
"PDF";"10121500";"Dispersible tablets for dose dispenser";"Current"
"PDF";"10122000";"Herbal tea";"Current"
"PDF";"10201000";"Oral powder";"Current"
"PDF";"10202000";"Instant herbal tea";"Current"
"PDF";"10203000";"Effervescent powder";"Current"
"PDF";"10204000";"Granules";"Current"
"PDF";"10205000";"Effervescent granules";"Current"
"PDF";"10206000";"Gastro-resistant granules";"Current"
"PDF";"10207000";"Prolonged-release granules";"Current"
"PDF";"10208000";"Modified-release granules";"Current"
"PDF";"10209000";"Cachet";"Current"
"PDF";"10210000";"Capsule, hard";"Current"
"PDF";"10211000";"Capsule, soft";"Current"
"PDF";"10212000";"Gastro-resistant capsule, hard";"Current"
"PDF";"10213000";"Gastro-resistant capsule, soft";"Current"
"PDF";"10214000";"Chewable capsule, soft";"Current"
"PDF";"10215000";"Prolonged-release capsule, hard";"Current"
"PDF";"10216000";"Prolonged-release capsule, soft";"Current"
"PDF";"10217000";"Modified-release capsule, hard";"Current"
"PDF";"10218000";"Modified-release capsule, soft";"Current"
"PDF";"10219000";"Tablet";"Current"
"PDF";"10220000";"Coated tablet";"Current"
"PDF";"10221000";"Film-coated tablet";"Current"
"PDF";"10222000";"Effervescent tablet";"Current"
"PDF";"10223000";"Orodispersible tablet";"Current"
"PDF";"10224000";"Oral lyophilisate";"Current"
"PDF";"10225000";"Gastro-resistant tablet";"Current"
"PDF";"10226000";"Prolonged-release tablet";"Current"
"PDF";"10227000";"Modified-release tablet";"Current"
"PDF";"10228000";"Chewable tablet";"Current"
"PDF";"10229000";"Medicated chewing-gum";"Current"
"PDF";"10230000";"Oral gum";"Current"
"PDF";"10230500";"Pill";"Rejected"
"PDF";"10231000";"Pillules";"Current"
"PDF";"10236100";"Orodispersible film";"Current"
"PDF";"10301000";"Gargle";"Current"
"PDF";"10302000";"Concentrate for gargle";"Current"
"PDF";"10303000";"Gargle, powder for solution";"Current"
"PDF";"10304000";"Gargle, tablet for solution";"Current"
"PDF";"10305000";"Oromucosal solution";"Current"
"PDF";"10306000";"Oromucosal suspension";"Current"
"PDF";"10307000";"Oromucosal drops";"Deprecated"
"PDF";"10308000";"Oromucosal spray";"Deprecated"
"PDF";"10308100";"Oromucosal spray, emulsion";"Current"
"PDF";"10308200";"Oromucosal spray, solution";"Current"
"PDF";"10308300";"Oromucosal spray, suspension";"Current"
"PDF";"10309000";"Sublingual spray";"Deprecated"
"PDF";"10309100";"Sublingual spray, emulsion";"Current"
"PDF";"10309200";"Sublingual spray, solution";"Current"
"PDF";"10309300";"Sublingual spray, suspension";"Current"
"PDF";"10310000";"Mouthwash";"Current"
"PDF";"10311000";"Mouthwash, tablet for solution";"Current"
"PDF";"10312000";"Gingival solution";"Current"
"PDF";"10313000";"Oromucosal gel";"Current"
"PDF";"10314000";"Oromucosal paste";"Current"
"PDF";"10314005";"Oromucosal ointment";"Current"
"PDF";"10314010";"Oromucosal cream";"Current"
"PDF";"10314011";"Buccal film";"Current"
"PDF";"10315000";"Gingival gel";"Current"
"PDF";"10316000";"Gingival paste";"Current"
"PDF";"10317000";"Oromucosal capsule";"Current"
"PDF";"10317500";"Sublingual film";"Current"
"PDF";"10318000";"Sublingual tablet";"Current"
"PDF";"10319000";"Muco-adhesive buccal tablet";"Current"
"PDF";"10320000";"Buccal tablet";"Current"
"PDF";"10321000";"Lozenge";"Current"
"PDF";"10322000";"Compressed lozenge";"Current"
